Signal,key,event,eventChannel,name,description,domain,interval,dataType,unitsType,displayRes
f1,s1,1,1,/Channel/!SPARP/actLineNumber [u1  1],Line number of current NC instruction (start:1),NCU_1,0.004,integer,none,0
f2,s2,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  1],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f3,s3,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  2],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f4,s4,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  3],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f5,s5,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  4],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f6,s6,1,1,/Channel/!SGA/actToolEdgeCenterPos [u1  5],Center point of a cutting edge,NCU_1,0.004,double,posn,5
f7,s7,1,1,/Channel/!S/acVactB [u1  1],Path veloc. in basic coordinate system,NCU_1,0.004,double,velo,5
,,,,,,,,,,
time,f1\s1,f2\s2,f3\s3,f4\s4,f5\s5,f6\s6,f7\s7,,,
0,0,-650,-500,-201,0,0,0,,,
0.004,0,-650,-500,-201,0,0,0,,,
0.008,-2,-650,-500,-201,0,0,0,,,
0.012,-2,-650,-500,-201,0,0,0,,,
0.016,-2,-650,-500,-201,0,0,0,,,
0.02,-2,-650,-500,-201,0,0,0,,,
0.024,-2,-650,-500,-201,0,0,0,,,
0.028,-2,-650,-500,-201,0,0,0,,,
0.032,-2,-650,-500,-201,0,0,0,,,
0.036,-2,-650,-500,-201,0,0,0,,,
0.04,-2,-650,-500,-201,0,0,0,,,
0.044,-2,-650,-500,-201,0,0,0,,,
0.048,-2,-650,-500,-201,0,0,0,,,
0.052,-2,-650,-500,-201,0,0,0,,,
0.056,-2,-650,-500,-201,0,0,0,,,
0.06,-2,-650,-500,-201,0,0,0,,,
0.064,-2,-650,-500,-201,0,0,0,,,
0.068,-2,-650,-500,-201,0,0,0,,,
0.072,-2,-650,-500,-201,0,0,0,,,
0.076,-2,-650,-500,-201,0,0,0,,,
0.08,-2,-650,-500,-201,0,0,0,,,
0.084,-2,-650,-500,-201,0,0,0,,,
0.088,-2,-650,-500,-201,0,0,0,,,
0.092,-2,-650,-500,-201,0,0,0,,,
0.096,-2,-650,-500,-201,0,0,0,,,
0.1,1,-650,-500,-201,0,0,0,,,
0.104,-2,-650,-500,-201,0,0,0,,,
0.108,-2,-650,-500,-201,0,0,0,,,
0.112,-2,-650,-500,-201,0,0,0,,,
0.116,-2,-650,-500,-201,0,0,0,,,
0.12,-2,-650,-500,-201,0,0,0,,,
0.124,-2,-650,-500,-201,0,0,0,,,
0.128,-2,-650,-500,-201,0,0,0,,,
0.132,-2,-650,-500,-201,0,0,0,,,
0.136,-2,-650,-500,-201,0,0,0,,,
0.14,-2,-650,-500,-201,0,0,0,,,
0.144,-2,-650,-500,-201,0,0,0,,,
0.148,-2,-650,-500,-201,0,0,0,,,
0.152,-2,-650,-500,-201,0,0,0,,,
0.156,-2,-650,-500,-201,0,0,0,,,
0.16,-2,-650,-500,-201,0,0,0,,,
0.164,-2,-650,-500,-201,0,0,0,,,
0.168,-2,-650,-500,-201,0,0,0,,,
0.172,-2,-650,-500,-201,0,0,0,,,
0.176,-2,-650,-500,-201,0,0,0,,,
0.18,-2,-650,-500,-201,0,0,0,,,
0.184,-2,-650,-500,-201,0,0,0,,,
0.188,-2,-650,-500,-201,0,0,0,,,
0.192,-2,-650,-500,-201,0,0,0,,,
0.196,-2,-650,-500,-201,0,0,0,,,
0.2,-2,-650,-500,-201,0,0,0,,,
0.204,-2,-650,-500,-201,0,0,0,,,
0.208,-2,-650,-500,-201,0,0,0,,,
0.212,-2,-650,-500,-201,0,0,0,,,
0.216,-2,-650,-500,-201,0,0,0,,,
0.22,-2,-650,-500,-201,0,0,0,,,
0.224,-2,-650,-500,-201,0,0,0,,,
0.228,-2,-650,-500,-201,0,0,0,,,
0.232,18,-650,-500,-1,0,0,0,,,
0.236,18,-650,-500,-1,0,0,0,,,
0.24,18,-650,-500,-1,0,0,0,,,
0.244,18,-650,-500,-1,0,0,0,,,
0.248,18,-650,-500,-1,0,0,0,,,
0.252,18,-650,-500,-1,0,0,0,,,
0.256,43,-650,-500,-1,0,0,0,,,
0.26,43,-650,-500,-1,0,0,0,,,
0.264,43,-650,-500,-1,0,0,0,,,
0.268,43,-650,-500,-1,0,0,0,,,
0.272,43,-650,-500,-1,0,0,0,,,
0.276,43,-650,-500,-1,0,0,0,,,
0.28,44,-650,-500,-1,0,0,0,,,
0.284,44,-650,-500,-1,0,0,0,,,
0.288,44,-650,-500,-1,0,0,0,,,
0.292,44,-650,-500,-1,0,0,0,,,
0.296,44,-650,-500,-1,0,0,0,,,
0.3,44,-650,-500,-1,0,0,0,,,
0.304,46,-650,-500,-1,0,0,0,,,
0.308,47,-650,-500,-201,0,0,0,,,
0.312,47,-650,-500,-201,0,0,0,,,
0.316,47,-650,-500,-201,0,0,0,,,
0.32,47,-650,-500,-201,0,0,0,,,
0.324,47,-650,-500,-201,0,0,0,,,
0.328,47,-650,-500,-201,0,0,0,,,
0.332,-2,-650,-500,-201,0,0,0,,,
0.336,-2,-650,-500,-201,0,0,0,,,
0.34,-2,-650,-500,-201,0,0,0,,,
0.344,-2,-650,-500,-201,0,0,0,,,
0.348,-2,-650,-500,-201,0,0,0,,,
0.352,-2,-650,-500,-201,0,0,0,,,
0.356,-2,-650,-500,-201,0,0,0,,,
0.36,-2,-650,-500,-201,0,0,0,,,
0.364,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.368,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.372,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.376,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.38,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.384,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.388,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.392,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.396,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.4,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.404,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.408,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.412,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.416,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.42,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.424,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.428,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.432,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.436,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.44,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.444,-2,-988.987,-571.504,-381.838,0,0,0,,,
0.448,49,-988.98604,-571.50345,-381.838,0,0,49.89425132,,,
0.452,49,-988.97932,-571.49956,-381.838,0,0,199.5770053,,,
0.456,49,-988.96108,-571.48902,-381.838,0,0,449.0482619,,,
0.46,49,-988.92556,-571.4685,-381.838,0,0,798.3080211,,,
0.464,49,-988.867,-571.43466,-381.838,0,0,1247.356283,,,
0.468,49,-988.77964,-571.38417,-381.838,0,0,1796.193048,,,
0.472,49,-988.65772,-571.31372,-381.838,0,0,2444.818315,,,
0.476,49,-988.49548,-571.21997,-381.838,0,0,3193.232085,,,
0.48,49,-988.28716,-571.09958,-381.838,0,0,4041.434357,,,
0.484,49,-988.027,-570.94925,-381.838,0,0,4989.425132,,,
0.488,49,-987.70924,-570.76562,-381.838,0,0,6037.20441,,,
0.492,49,-987.32812,-570.54539,-381.838,0,0,7184.77219,,,
0.496,49,-986.87788,-570.28521,-381.838,0,0,8432.128473,,,
0.5,49,-986.35276,-569.98176,-381.838,0,0,9779.273259,,,
0.504,49,-985.747,-569.63171,-381.838,0,0,11226.20655,,,
0.508,49,-985.05484,-569.23173,-381.838,0,0,12772.92834,,,
0.512,49,-984.27052,-568.7785,-381.838,0,0,14419.43863,,,
0.516,49,-983.38828,-568.26868,-381.838,0,0,16165.73743,,,
0.52,49,-982.40236,-567.69895,-381.838,0,0,18011.82473,,,
0.524,49,-981.307,-567.06597,-381.838,0,0,19957.70053,,,
0.528,49,-980.09644,-566.36643,-381.838,0,0,22003.36483,,,
0.532,49,-978.76492,-565.59699,-381.838,0,0,24148.81764,,,
0.536,49,-977.30668,-564.75432,-381.838,0,0,26394.05895,,,
0.54,49,-975.71596,-563.83509,-381.838,0,0,28739.08876,,,
0.544,49,-973.987,-562.83598,-381.838,0,0,31183.90708,,,
0.548,49,-972.115,-561.75421,-381.838,0,0,33678.61964,,,
0.552,49,-970.099,-560.58923,-381.838,0,0,36173.33221,,,
0.556,49,-967.939,-559.34103,-381.838,0,0,38668.04477,,,
0.56,49,-965.635,-558.00963,-381.838,0,0,41162.75734,,,
0.564,49,-963.187,-556.595,-381.838,0,0,43657.46991,,,
0.568,49,-960.595,-555.09717,-381.838,0,0,46152.18247,,,
0.572,49,-957.859,-553.51612,-381.838,0,0,48646.89504,,,
0.576,49,-954.979,-551.85186,-381.838,0,0,51141.6076,,,
0.58,49,-951.955,-550.10439,-381.838,0,0,53636.32017,,,
0.584,49,-948.787,-548.2737,-381.838,0,0,56131.03274,,,
0.588,49,-945.475,-546.3598,-381.838,0,0,58625.7453,,,
0.592,49,-942.019,-544.36269,-381.838,0,0,61120.45787,,,
0.596,49,-938.41992,-542.2829,-381.838,0,0,63567.16038,,,
0.6,49,-934.68243,-540.12312,-381.838,0,0,65915.95858,,,
0.604,49,-930.81223,-537.88666,-381.838,0,0,68164.96828,,,
0.608,49,-926.8151,-535.57684,-381.838,0,0,70314.18948,,,
0.612,49,-922.69679,-533.197,-381.838,0,0,72363.62218,,,
0.616,49,-918.46306,-530.75047,-381.838,0,0,74313.26637,,,
0.62,49,-914.11968,-528.24056,-381.838,0,0,76163.12206,,,
0.624,49,-909.67239,-525.67062,-381.838,0,0,77913.18925,,,
0.628,49,-905.12697,-523.04397,-381.838,0,0,79563.46794,,,
0.632,49,-900.48918,-520.36393,-381.838,0,0,81113.95812,,,
0.636,49,-895.76476,-517.63385,-381.838,0,0,82564.6598,,,
0.64,49,-890.95949,-514.85703,-381.838,0,0,83915.57298,,,
0.644,49,-886.07912,-512.03682,-381.838,0,0,85166.69765,,,
0.648,49,-881.12941,-509.17654,-381.838,0,0,86318.03383,,,
0.652,49,-876.11612,-506.27953,-381.838,0,0,87369.5815,,,
0.656,49,-871.04502,-503.3491,-381.838,0,0,88321.34066,,,
0.66,49,-865.92186,-500.38859,-381.838,0,0,89173.31133,,,
0.664,49,-860.7524,-497.40132,-381.838,0,0,89925.49349,,,
0.668,49,-855.54241,-494.39063,-381.838,0,0,90577.88715,,,
0.672,49,-850.29764,-491.35985,-381.838,0,0,91130.49231,,,
0.676,49,-845.02384,-488.31229,-381.838,0,0,91583.30896,,,
0.68,49,-839.7268,-485.2513,-381.838,0,0,91936.33711,,,
0.684,49,-834.41225,-482.18019,-381.838,0,0,92189.57676,,,
0.688,49,-829.08597,-479.1023,-381.838,0,0,92343.02791,,,
0.692,49,-823.75371,-476.02096,-381.838,0,0,92396.69055,,,
0.696,49,-818.42037,-472.93899,-381.838,0,0,92396.76171,,,
0.7,49,-813.08704,-469.85703,-381.838,0,0,92396.76171,,,
0.704,49,-807.75371,-466.77507,-381.838,0,0,92396.76171,,,
0.708,49,-802.42037,-463.69311,-381.838,0,0,92396.76171,,,
0.712,49,-797.08704,-460.61114,-381.838,0,0,92396.76171,,,
0.716,49,-791.75371,-457.52918,-381.838,0,0,92396.76171,,,
0.72,49,-786.42037,-454.44722,-381.838,0,0,92396.76171,,,
0.724,49,-781.08704,-451.36525,-381.838,0,0,92396.76171,,,
0.728,49,-775.75371,-448.28329,-381.838,0,0,92396.76171,,,
0.732,49,-770.42037,-445.20133,-381.838,0,0,92396.76171,,,
0.736,49,-765.08704,-442.11937,-381.838,0,0,92396.76171,,,
0.74,49,-759.75371,-439.0374,-381.838,0,0,92396.76171,,,
0.744,49,-754.42037,-435.95544,-381.838,0,0,92396.76171,,,
0.748,49,-749.08704,-432.87348,-381.838,0,0,92396.76171,,,
0.752,49,-743.75371,-429.79151,-381.838,0,0,92396.76171,,,
0.756,49,-738.42037,-426.70955,-381.838,0,0,92396.76171,,,
0.76,49,-733.08704,-423.62759,-381.838,0,0,92396.76171,,,
0.764,49,-727.75371,-420.54562,-381.838,0,0,92396.76171,,,
0.768,49,-722.42037,-417.46366,-381.838,0,0,92396.76171,,,
0.772,49,-717.08704,-414.3817,-381.838,0,0,92396.76171,,,
0.776,49,-711.75371,-411.29974,-381.838,0,0,92396.76171,,,
0.78,49,-706.42037,-408.21777,-381.838,0,0,92396.76171,,,
0.784,49,-701.08704,-405.13581,-381.838,0,0,92396.76171,,,
0.788,49,-695.75371,-402.05385,-381.838,0,0,92396.76171,,,
0.792,49,-690.42037,-398.97188,-381.838,0,0,92396.76171,,,
0.796,49,-685.08704,-395.88992,-381.838,0,0,92396.76171,,,
0.8,49,-679.75371,-392.80796,-381.838,0,0,92396.76171,,,
0.804,49,-674.42037,-389.72599,-381.838,0,0,92396.76171,,,
0.808,49,-669.08704,-386.64403,-381.838,0,0,92396.76171,,,
0.812,49,-663.75371,-383.56207,-381.838,0,0,92396.76171,,,
0.816,49,-658.42037,-380.48011,-381.838,0,0,92396.76171,,,
0.82,49,-653.08704,-377.39814,-381.838,0,0,92396.76171,,,
0.824,49,-647.75371,-374.31618,-381.838,0,0,92396.76171,,,
0.828,49,-642.42037,-371.23422,-381.838,0,0,92396.76171,,,
0.832,49,-637.08704,-368.15225,-381.838,0,0,92396.76171,,,
0.836,49,-631.75371,-365.07029,-381.838,0,0,92396.76171,,,
0.84,49,-626.42037,-361.98833,-381.838,0,0,92396.76171,,,
0.844,49,-621.08704,-358.90636,-381.838,0,0,92396.76171,,,
0.848,49,-615.75371,-355.8244,-381.838,0,0,92396.76171,,,
0.852,49,-610.42037,-352.74244,-381.838,0,0,92396.76171,,,
0.856,49,-605.08704,-349.66048,-381.838,0,0,92396.76171,,,
0.86,49,-599.75371,-346.57851,-381.838,0,0,92396.76171,,,
0.864,49,-594.42037,-343.49655,-381.838,0,0,92396.76171,,,
0.868,49,-589.08704,-340.41459,-381.838,0,0,92396.76171,,,
0.872,49,-583.75371,-337.33262,-381.838,0,0,92396.76171,,,
0.876,49,-578.42037,-334.25066,-381.838,0,0,92396.76171,,,
0.88,49,-573.08704,-331.1687,-381.838,0,0,92396.76171,,,
0.884,49,-567.75371,-328.08673,-381.838,0,0,92396.76171,,,
0.888,49,-562.42037,-325.00477,-381.838,0,0,92396.76171,,,
0.892,49,-557.08704,-321.92281,-381.838,0,0,92396.76171,,,
0.896,49,-551.75371,-318.84085,-381.838,0,0,92396.76171,,,
0.9,49,-546.42037,-315.75888,-381.838,0,0,92396.76171,,,
0.904,49,-541.08704,-312.67692,-381.838,0,0,92396.76171,,,
0.908,49,-535.75371,-309.59496,-381.838,0,0,92396.76171,,,
0.912,49,-530.42037,-306.51299,-381.838,0,0,92396.76171,,,
0.916,49,-525.08704,-303.43103,-381.838,0,0,92396.76171,,,
0.92,49,-519.75371,-300.34907,-381.838,0,0,92396.76171,,,
0.924,49,-514.42037,-297.2671,-381.838,0,0,92396.76171,,,
0.928,49,-509.08704,-294.18514,-381.838,0,0,92396.76171,,,
0.932,49,-503.75371,-291.10318,-381.838,0,0,92396.76171,,,
0.936,49,-498.42037,-288.02122,-381.838,0,0,92396.76171,,,
0.94,49,-493.08704,-284.93925,-381.838,0,0,92396.76171,,,
0.944,49,-487.75371,-281.85729,-381.838,0,0,92396.76171,,,
0.948,49,-482.42037,-278.77533,-381.838,0,0,92396.76171,,,
0.952,49,-477.08704,-275.69336,-381.838,0,0,92396.76171,,,
0.956,49,-471.75371,-272.6114,-381.838,0,0,92396.76171,,,
0.96,49,-466.42037,-269.52944,-381.838,0,0,92396.76171,,,
0.964,49,-461.08704,-266.44747,-381.838,0,0,92396.76171,,,
0.968,49,-455.75371,-263.36551,-381.838,0,0,92396.76171,,,
0.972,49,-450.42037,-260.28355,-381.838,0,0,92396.76171,,,
0.976,49,-445.08704,-257.20159,-381.838,0,0,92396.76171,,,
0.98,49,-439.75371,-254.11962,-381.838,0,0,92396.76171,,,
0.984,49,-434.42037,-251.03766,-381.838,0,0,92396.76171,,,
0.988,49,-429.08704,-247.9557,-381.838,0,0,92396.76171,,,
0.992,49,-423.75371,-244.87373,-381.838,0,0,92396.76171,,,
0.996,49,-418.42037,-241.79177,-381.838,0,0,92396.76171,,,
1,49,-413.08704,-238.70981,-381.838,0,0,92396.76171,,,
1.004,49,-407.75371,-235.62784,-381.838,0,0,92396.76171,,,
1.008,49,-402.42037,-232.54588,-381.838,0,0,92396.76171,,,
1.012,49,-397.08704,-229.46392,-381.838,0,0,92396.76171,,,
1.016,49,-391.75371,-226.38196,-381.838,0,0,92396.76171,,,
1.02,49,-386.42037,-223.29999,-381.838,0,0,92396.76171,,,
1.024,49,-381.08704,-220.21803,-381.838,0,0,92396.76171,,,
1.028,49,-375.75371,-217.13607,-381.838,0,0,92396.76171,,,
1.032,49,-370.42037,-214.0541,-381.838,0,0,92396.76171,,,
1.036,49,-365.08704,-210.97214,-381.838,0,0,92396.76171,,,
1.04,49,-359.75371,-207.89018,-381.838,0,0,92396.76171,,,
1.044,49,-354.42037,-204.80821,-381.838,0,0,92396.76171,,,
1.048,49,-349.08704,-201.72625,-381.838,0,0,92396.76171,,,
1.052,49,-343.75371,-198.64429,-381.838,0,0,92396.76171,,,
1.056,49,-338.42037,-195.56233,-381.838,0,0,92396.76171,,,
1.06,49,-333.08704,-192.48036,-381.838,0,0,92396.76171,,,
1.064,49,-327.75371,-189.3984,-381.838,0,0,92396.76171,,,
1.068,49,-322.42037,-186.31644,-381.838,0,0,92396.76171,,,
1.072,49,-317.08704,-183.23447,-381.838,0,0,92396.76171,,,
1.076,49,-311.75371,-180.15251,-381.838,0,0,92396.76171,,,
1.08,49,-306.42037,-177.07055,-381.838,0,0,92396.76171,,,
1.084,49,-301.08704,-173.98858,-381.838,0,0,92396.76171,,,
1.088,49,-295.75371,-170.90662,-381.838,0,0,92396.76171,,,
