Block_ID,N_Number,Cmd_F,Cmd_S,Is_G01,Is_G02,Is_G03,Is_Traori,Is_Cycle800,Is_MCALL_Sub,C832_Tol,C832_Mode,Tgt_X,Tgt_Y,Tgt_Z,Tgt_B,Tgt_C,Delta_3D,Delta_Rot,Tool_Vector_Delta,Kinematic_Blend_Ratio,Sharpness_Angle,Is_Motion_Block,Is_Reversal_X,Is_Reversal_Y,Is_Reversal_Z,Theo_Duration,Duration_Sec,Target_Feedrate
1,1,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,1000
2,2,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
3,3,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
4,4,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
5,5,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
6,6,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
7,7,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
8,8,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
9,9,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
10,10,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
11,11,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
12,12,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
13,13,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
14,14,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
15,15,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,1000
16,16,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,1000
17,17,1000,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
18,18,20000,0,0,0,0,0,0,0,0.1,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0.003,0.003,20000
19,19,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,820.0609733,0,0,0,1.570796327,1,0,0,0,2.46018292,2.46018292,20000
20,20,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,20000
21,21,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,20000
22,22,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,20000
23,23,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,20000
24,24,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,20000
25,25,20000,0,0,0,0,0,0,0,0.1,0,-650,-500,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.001333333,20000
